SampleID,SubsampleID,Morphology,Percentage
B3.10.18520/cs/v117/i11/1874-1879,N/A,fragments,N/A
B4.10.18520/cs/v117/i11/1874-1879,N/A,fibers,N/A
B4.10.18520/cs/v117/i11/1874-1879,N/A,fragments,N/A
B5.10.18520/cs/v117/i11/1874-1879,N/A,fibers,N/A
B5.10.18520/cs/v117/i11/1874-1879,N/A,fragments,N/A
Mintenig_10.1371/journal.pone.0236838,N/A,fragments,N/A
Shruti_10.1371/journal.pone.0236838,N/A,fibres,N/A
Shruti_10.1371/journal.pone.0236838,N/A,fragments,N/A
Strand_10.1371/journal.pone.0236838,N/A,fragments,N/A
Zhang_10.1371/journal.pone.0236838,N/A,fibres,N/A
Zhang_10.1371/journal.pone.0236838,N/A,fragments,N/A
Mason_10.1371/journal.pone.0236838,Mason.1_10.1371/journal.pone.0236838,fragments,N/A
Mason_10.1371/journal.pone.0236838,Mason.1_10.1371/journal.pone.0236838,fibres,N/A
Mason_10.1371/journal.pone.0236838,Mason.1_10.1371/journal.pone.0236838,films,N/A
Mason_10.1371/journal.pone.0236838,Mason.2_10.1371/journal.pone.0236838,fragments,N/A
Mason_10.1371/journal.pone.0236838,Mason.2_10.1371/journal.pone.0236838,fibres,N/A
Mason_10.1371/journal.pone.0236838,Mason.2_10.1371/journal.pone.0236838,films,N/A
Weisheu_10.1371/journal.pone.0236838,N/A,fibres,N/A
AverageAll_10.1016/j.watres.2019.02.054,N/A,fragments,N/A
AverageAll_10.1016/j.watres.2019.02.054,N/A,fibres,N/A
AverageAll_10.1016/j.watres.2019.02.054,N/A,film,N/A
AverageAll_10.1016/j.watres.2019.02.054,N/A,foam,N/A
AverageAll_10.1016/j.watres.2019.02.054,N/A,pellet,N/A
AverageAll_10.1016/j.watres.2019.02.054,N/A,sphere,N/A
AverageAll_10.1016/j.watres.2019.02.054,N/A,line,N/A
AverageAll_10.1016/j.watres.2019.02.054,N/A,bead,N/A
AverageAll_10.1016/j.watres.2019.02.054,N/A,flake,N/A
AverageAll_10.1016/j.watres.2019.02.054,N/A,sheet,N/A
AverageAll_10.1016/j.watres.2019.02.054,N/A,granule,N/A
AverageAll_10.1016/j.watres.2019.02.054,N/A,paint,N/A
AverageAll_10.1016/j.watres.2019.02.054,N/A,foil,N/A
AverageAll_10.1016/j.watres.2019.02.054,N/A,nurdle,N/A
