DOI,Sample_ID,Subsample_ID,Location,Source,Date,Concentration,Concentration_Units
10.1016/j.scitotenv.2021.150545,A_Sand.10.1016/j.scitotenv.2021.150545,A_Sand_PE.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,280.6,particles/L
10.1016/j.scitotenv.2021.150545,A_Sand.10.1016/j.scitotenv.2021.150545,A_Sand_PP.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,260.4,particles/L
10.1016/j.scitotenv.2021.150545,A_Sand.10.1016/j.scitotenv.2021.150545,A_Sand_PVC.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,200,particles/L
10.1016/j.scitotenv.2021.150545,A_Treated.10.1016/j.scitotenv.2021.150545,A_Treated_PE.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,180.1,particles/L
10.1016/j.scitotenv.2021.150545,A_Treated.10.1016/j.scitotenv.2021.150545,A_Treated_PP.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,200.1,particles/L
10.1016/j.scitotenv.2021.150545,A_Treated.10.1016/j.scitotenv.2021.150545,A_Treated_PVC.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,90.0,particles/L
10.1016/j.scitotenv.2021.150545,B_BioTreatment.10.1016/j.scitotenv.2021.150545,B_BioTreatment_PA.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,394.1,particles/L
10.1016/j.scitotenv.2021.150545,B_BioTreatment.10.1016/j.scitotenv.2021.150545,B_BioTreatment_VINYL.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,1092.3,particles/L
10.1016/j.scitotenv.2021.150545,B_BioTreatment.10.1016/j.scitotenv.2021.150545,B_BioTreatment_VINYON.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,2030,particles/L
10.1016/j.scitotenv.2021.150545,B_Sedimentation.10.1016/j.scitotenv.2021.150545,B_Sedimentation_PA.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,451.3,particles/L
10.1016/j.scitotenv.2021.150545,B_Sedimentation.10.1016/j.scitotenv.2021.150545,B_Sedimentation_VINYL.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,1042,particles/L
10.1016/j.scitotenv.2021.150545,B_Sedimentation.10.1016/j.scitotenv.2021.150545,B_Sedimentation_VINYON.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,504.1,particles/L
10.1016/j.scitotenv.2021.150545,B_Ozonation.10.1016/j.scitotenv.2021.150545,B_Ozonation_PA.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,300,particles/L
10.1016/j.scitotenv.2021.150545,B_Ozonation.10.1016/j.scitotenv.2021.150545,B_Ozonation_VINYL.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,252,particles/L
