DOI,Sample_ID,Location,Source,Date,Concentration,Polymers,Size,Shape,Color
http://dce2.au.dk/pub/SR291.pdf ,17.http://dce2.au.dk/pub/SR291.pdf ,Kristtornvej (8200 Aarhus N.) ,Tap water,5/16/2018,13 particles/ 50 L,Cellulose 31%,N/A,fibers 92%; fragments 8%,N/A
10.1016/j.hazmat.2021.125708,S2.10.1016/j.hazmat.2021.125708,"Algard lakes, Norway",Drinking water treatment plant,N/A,9.7 ug/m3,PA; PVC; PET; PE,N/A,N/A,N/A
10.1016/j.hazmat.2021.125708,S3.10.1016/j.hazmat.2021.125708,South-western Norway,Drinking water treatment plant,N/A,12.8 ug/m3,PA; PVC; PET; PE,N/A,N/A,N/A
10.1016/j.hazmat.2021.125708,S4.10.1016/j.hazmat.2021.125708,South-western Norway,Drinking water treatment plant,N/A,6.1 ug/m3,PVC; PE,N/A,N/A,N/A
10.1016/j.chemosphere.2021.131881,In_Lab_10.1016/j.chemosphere.2021.131881,N/A,Spiked tap water,N/A,N/A,PET; PVC; Nylon; PET,N/A,fiber; fragment,clear; blue; red; brown; green; orange
10.1016/j.chemosphere.2021.131881,In_Line_10.1016/j.chemosphere.2021.131881,N/A,Spiked tap water,N/A,N/A,PET; PVC; Nylon; PET,N/A,fiber; fragment,clear; blue; red; brown; green; orange
10.1016/j.cej.2018.11.155,1.10.1016/j.cej.2018.11.155,N/A,Spiked tap water,N/A,N/A,PE; PAM,<0.5 mm; 0.5-1 mm; 1-2 mm; 2-5 mm,N/A,N/A
10.1016/j.chemosphere.2021.132587,settled_10.1016/j.chemosphere.2021.132587,"Ontario, Canada",Drinking water treatment plant,N/A,11 particles/L,plastic additive; PBT; PE; PU; PET-PEST,10-45 um; 45-125 um; 125-300 um; 300-500 um; >500 um,N/A,N/A
10.1016/j.chemosphere.2021.132588,filtered_10.1016/j.chemosphere.2021.132587,"Ontario, Canada",Drinking water treatment plant,N/A,11 particles/L,PAN; plastic additive; PBT; PE; PU; PP; PET-PEST,10-45 um; 45-125 um; 125-300 um; 300-500 um; >500 um,N/A,N/A
10.1016/j.chemosphere.2021.132589,clearwell_10.1016/j.chemosphere.2021.132587,"Ontario, Canada",Drinking water treatment plant,N/A,31 particles/L,silicone; plastic additive; PE; PU; PET-PEST,10-45 um; 45-125 um; 125-300 um; 300-500 um; >500 um,N/A,N/A
10.1016/j.chemosphere.2021.132590,distribution_10.1016/j.chemosphere.2021.132587,"Ontario, Canada",Drinking water treatment plant,N/A,20 particles/L,plastic additive; PBT; PE; PP; PET-PEST,10-45 um; 45-125 um; 125-300 um; 300-500 um; >500 um,N/A,N/A
10.1016/j.watres.2020.11.6519,V.10.1016/j.watres.2020.11.6519,"Skane, Sweeden",Drinking water treatment plant,N/A,N/A,acrylic; PE; PVC,8-316 um,fibers 19%; fragments 81%,N/A
10.1016/j.watres.2020.11.6519,BJP.10.1016/j.watres.2020.11.6519,"Skane, Sweeden",Drinking water treatment plant,N/A,N/A,polyester; acrylic; PA; PE; PVC; PS; PU; PP,8-316 um,fibers 19%; fragments 81%,N/A
10.1016/j.watres.2020.11.6519,BJH.10.1016/j.watres.2020.11.6519,"Skane, Sweeden",Drinking water treatment plant,N/A,N/A,polyester; acrylic; PA; PVC; PP,8-316 um,fibers 19%; fragments 81%,N/A
10.1016/j.watres.2020.11.6519,BOP.10.1016/j.watres.2020.11.6519,"Skane, Sweeden",Drinking water treatment plant,N/A,N/A,polyester; acrylic; PA; PS; PP,8-316 um,fibers 19%; fragments 81%,N/A
10.1016/j.watres.2020.11.6519,BOH.10.1016/j.watres.2020.11.6519,"Skane, Sweeden",Drinking water treatment plant,N/A,N/A,polyester; acrylic; PA; PE; PVC; PP,8-316 um,fibers 19%; fragments 81%,N/A
10.1007/s11270-022-05649-y,1.10.1007/s11270-022-05649-y,"Yangtze River, China; Jailing River, China",River water; spiked filter water,N/A,1.8 g/L,PE; PS; PP,50 um; 500 um; 3000 um,N/A,N/A
10.1016/j.scitotenv.2021.152623,1.10.1016/j.scitotenv.2021.152623,"Geneva, Switzerland",Spiked drinking water,N/A,10 mg/L,PS,110-124 nm,N/A,N/A
